rating,rating_count,cost,name,city,cuisine
4.0,1,300.0,35169,7,800
4.0,500,100.0,13240,7,559
3.9,100,250.0,23409,7,423
3.9,500,200.0,38778,7,800
3.9,100,300.0,38978,7,47
3.9,500,175.0,9945,7,1158
4.0,500,175.0,33363,7,1158
3.7,100,150.0,24129,7,464
3.9,100,300.0,14839,7,1158
3.7,100,250.0,12,7,588
3.9,100,300.0,28867,7,1476
3.7,100,150.0,8381,7,622
3.7,100,100.0,21110,7,310
3.6,100,250.0,24870,7,1158
4.0,100,450.0,1200,7,1175
3.5,100,250.0,12215,7,1158
3.6,100,125.0,23766,7,800
3.7,500,450.0,10935,7,816
4.2,100,8.0,7018,7,154
4.4,100,150.0,32734,7,1537
3.6,100,200.0,2716,7,447
3.2,100,300.0,14125,7,858
3.1,100,200.0,21139,7,816
3.4,20,150.0,16736,7,418
3.7,500,250.0,16502,7,1175
4.1,50,150.0,7639,7,154
3.5,100,200.0,38566,7,611
3.5,50,150.0,25700,7,800
3.3,100,150.0,9944,7,800
3.8,100,200.0,23330,7,464
3.5,100,200.0,26495,7,321
3.6,100,125.0,35159,7,800
4.0,100,375.0,30225,7,800
3.4,500,200.0,33701,7,447
4.2,100,275.0,35281,7,1158
4.5,50,150.0,32733,7,179
4.3,500,200.0,40449,7,611
3.4,100,300.0,14501,7,650
3.5,50,200.0,35312,7,310
4.1,100,175.0,38021,7,464
3.8,20,1000.0,15914,7,819
4.1,100,150.0,4341,7,816
3.2,20,275.0,27651,7,511
3.8,100,200.0,20715,7,1175
3.7,50,200.0,23917,7,1158
4.0,20,300.0,5352,7,1439
3.5,100,300.0,37225,7,1158
3.9,100,100.0,12173,7,816
4.4,50,150.0,21170,7,805
3.7,20,200.0,1871,7,1595
4.2,50,150.0,35275,7,447
3.9,100,300.0,6641,7,263
3.7,50,425.0,19946,7,816
4.0,500,250.0,37494,7,1158
3.9,20,300.0,9235,7,447
3.1,100,150.0,4232,7,1158
3.9,50,350.0,16707,7,807
3.5,100,200.0,29696,7,1158
2.9,50,200.0,28124,7,846
4.0,100,100.0,3750,7,816
3.6,100,200.0,16503,7,227
3.4,20,250.0,23834,7,217
2.9,50,100.0,20980,7,418
4.1,20,150.0,10144,7,816
3.6,20,300.0,4010,7,1158
3.3,20,200.0,28557,7,816
3.4,50,150.0,29695,7,816
3.5,50,500.0,13534,7,435
4.0,1,275.0,33985,7,800
3.9,20,150.0,229,7,263
3.3,50,400.0,1276,7,1158
3.4,20,120.0,10145,7,388
3.7,100,250.0,40893,7,1158
4.0,100,200.0,18989,7,966
4.0,100,325.0,6423,7,1576
3.5,100,300.0,35711,7,297
4.5,20,100.0,28936,7,611
3.6,20,150.0,16504,7,809
3.6,50,150.0,14879,7,800
4.0,100,200.0,3958,7,812
4.4,100,425.0,10465,7,1277
2.4,50,200.0,9763,7,1149
3.6,50,200.0,6257,7,1149
3.3,50,350.0,3020,7,1422
4.1,50,200.0,19270,7,800
2.9,20,150.0,27811,7,310
4.0,100,125.0,21599,7,858
4.0,20,300.0,11956,7,460
3.4,100,300.0,3552,7,1175
3.8,20,150.0,30750,7,856
4.5,20,175.0,29746,7,1175
3.8,100,200.0,38831,7,816
2.7,50,300.0,16230,7,313
4.2,50,150.0,11867,7,418
4.2,100,150.0,32735,7,559
3.7,20,150.0,33727,7,171
3.6,500,300.0,9694,7,970
2.3,20,200.0,13451,7,800
4.0,20,150.0,29063,7,800
4.3,100,600.0,11412,7,447
4.3,20,200.0,785,7,1399
3.9,50,160.0,36389,7,1410
3.9,50,450.0,13915,7,429
3.6,50,600.0,15820,7,816
4.4,20,180.0,37284,7,418
3.7,20,200.0,25227,7,816
3.1,50,125.0,23393,7,800
3.2,20,200.0,38571,7,816
3.9,20,250.0,12975,7,454
3.5,100,200.0,21570,7,816
3.5,20,275.0,29733,7,548
3.7,100,150.0,14678,7,418
3.8,100,150.0,1107,7,816
3.1,20,100.0,28553,7,812
3.8,50,200.0,1459,7,1598
4.0,20,150.0,25781,7,310
3.6,100,225.0,25456,7,1175
3.3,20,200.0,5473,7,822
4.0,100,200.0,29937,7,1158
3.9,1,250.0,4556,8,464
3.8,1,200.0,22173,8,464
3.9,20,250.0,25944,8,1158
3.9,1,250.0,4555,8,1476
3.4,100,300.0,9791,8,559
